name,styleUrl,stroke-opacity,stroke,stroke-width,icon-scale,icon-offset,icon-offset-units,icon,visibility
NE 1.21,#msn_ylw-pushpin1601,1,#ffff00,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.22,#msn_ylw-pushpin16000,1,#ffff00,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.23,#msn_ylw-pushpin12000,1,#ffff00,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.1,#msn_ylw-pushpin1430,1,#55ff7f,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.2,#msn_ylw-pushpin1430,1,#55ff7f,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.3,#msn_ylw-pushpin0130,1,#ff00ff,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.4,#msn_ylw-pushpin114000,1,#ff00ff,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.5,#msn_ylw-pushpin111100,1,#00aa00,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.6,#msn_ylw-pushpin17010,1,#00aa00,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.6 Connector Line,#msn_ylw-pushpin13020,1,#00aa00,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.7,#msn_ylw-pushpin13020,1,#00aa00,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.8,#msn_ylw-pushpin4401,1,#5500ff,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.19,#msn_ylw-pushpin4401,1,#5500ff,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.10,#msn_ylw-pushpin4401,1,#5500ff,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.11,#msn_ylw-pushpin940,1,#aaffff,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.12,#msn_ylw-pushpin940,1,#aaffff,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.13,#msn_ylw-pushpin940,1,#aaffff,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.14,#msn_ylw-pushpin940,1,#aaffff,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.15,#msn_ylw-pushpin19020,1,#000000,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.16,#msn_ylw-pushpin31020,1,#000000,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.17,#msn_ylw-pushpin100010,1,#000000,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.21,#msn_ylw-pushpin150001,1,#8b4500,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.22,#msn_ylw-pushpin15001,1,#8b4500,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.23,#msn_ylw-pushpin150001,1,#8b4500,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.23 Connector,#msn_ylw-pushpin18020,1,#8b4500,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,
NE 1.31,#msn_ylw-pushpin7110,1,#9a339a,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,false
NE 1.32,#msn_ylw-pushpin51100,1,#9a339a,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,false
NE 1.33,#msn_ylw-pushpin51100,1,#9a339a,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,false
NE 1.34,#msn_ylw-pushpin39110,1,#00ff00,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,false
NE 1.35,#m_ylw-pushpin26000,1,#00ff00,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,false
NE 1.36,#m_ylw-pushpin26000,1,#00ff00,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,false
NE 1.37,#m_ylw-pushpin26000,1,#00ff00,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,false
NE 1.38,#m_ylw-pushpin26000,1,#00ff00,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,false
NE 1.39,#m_ylw-pushpin26000,1,#00ff00,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,false
NE 1.40,#msn_ylw-pushpin20010,1,#00ff00,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,false
NE 1.41,#msn_ylw-pushpin810,1,#55ffff,8,1.1,"[20,2]","[""pixels"",""pixels""]",http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png,false
