Name,Latitude,Longitude,Description,Open
Magnesite Relay Room,-25.51054373512783,31.44428940950928,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 09.12.38.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 09.12.22.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 09.11.36.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 09.11.18.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 09.10.53.jpeg"">

Holes on the hole",1
Relay Room (Vandalised),-25.52745255182487,31.25364578403584,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 16.28.03.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 16.28.02.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 16.28.01.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 16.28.00(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 16.28.00.jpeg"">",1
Mayfern Relay room,-25.45817628916019,31.03645961224243,"Lots of digging around relay room.<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_0.59.53.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_0.59.34.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_0.59.26.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_0.58.40.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_0.58.11.jpeg"">",1
Westaffin Relay Room,-25.45295366047069,30.93127545142848,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 08.37.11.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 08.36.30.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 08.35.40.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 08.35.24.jpeg"">",1
Alkmaar Relay Room,-25.44159205293454,30.8265303088346,,1
Schagen Relay Room,-25.43478031394281,30.79118657577669,"Fence got lot of holes and gate not lock. Station buildings in use by locals.<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 12_1.40.59(1).jpeg"">",1
Elandshoek Substation,-25.51764604339297,30.69967521541653,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.20.20(1).jpeg"">Sub not in use.<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.18.18.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.17.31.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.17.14.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 15_1.17.04.jpeg"">",
Arlie Relay room,-25.61831107508806,30.50517522023063,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 16_1.33.07.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 16_1.32.47.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 16_1.32.38.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 16_1.32.24.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 16_1.32.13.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 16_1.31.57.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 16_1.31.51.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 16_1.31.41.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 16_1.31.31.jpeg"">


Arlie Relay room
Trenches around relay room
Doors broken
Thick vegetation",1
Goedgeluk Relay Room,-25.64564132229008,30.28162004742844,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 10.48.48.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 10.49.32.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 10.49.45.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 10.51.34.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-19 at 10.52.55.jpeg"">",1
Sunbury Relay Room (Vandalised),-25.76257341516595,29.96126335269928,"(KMP 89/6)<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.46.36.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.45.50(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.45.50.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.45.49.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.45.48.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.45.47.jpeg"">",1
