Name,Latitude,Longitude,Open,Description
Komatipoort Relay Room,-25.43816939067363,31.95520414693343,1,
Komatipoort Diesel Deport,-25.44026536423744,31.95218235364478,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_1.54.37.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_1.54.31.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_1.53.03.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_1.52.58.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_1.52.01.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_1.51.47.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_1.51.24.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 09_1.51.08.jpeg"">"
Komatipoort Substation,-25.43398107542829,31.94664850325875,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 10_0.21.34.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 10_0.21.01.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 10_0.20.37.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 10_0.20.32.jpeg"">"
Koorsboom Relay Room (In Use),-25.42610833333333,31.92435833333333,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 10.45.03.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 10.44.42.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 10.44.34.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 10.44.21.jpeg"">Relay room kmp 213/1 no name at relay room
Overgrown vegetation around relay room. Hole at the main gate"
TEK Relay Room /Tenbosch Keerboom Relay - Functional,-25.41629021693526,31.85282520941612,1,"Kmp 205/10 next to unnamed relay room

D<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.17.23.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.17.09.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.16.52.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.16.39.jpeg"">oors locked, gate locked , fence intact
Overgrown vegetation around relay room"
Tenboch Substation (In Use),-25.41737222222222,31.83772222222223,1,"Tenbisch substation.
<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.24.44.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.23.51.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.23.38.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.23.20.jpeg"">All in tact"
Tenboch Relay room,-25.42474444444445,31.82103333333333,1,"Tenboch Relay room, no padlock,<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.41.19(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.41.11.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.40.49.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.40.40.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.40.30.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.41.19.jpeg"">"
Martloth Relay Room /Droogland Tenboch Relay Room),-25.43142777777778,31.799775,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.53.35.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.54.06.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.54.52.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.55.36.jpeg"">"
Drogland Substation,-25.43090583769131,31.73358127595864,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 13.56.16.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 13.56.08.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 13.56.02.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 13.54.51.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 13.54.32.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 13.54.16.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 13.54.11.jpeg"">"
Drogland Relay room,-25.43085576049424,31.73425320080219,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 13.52.52.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 13.52.34.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 13.52.21.jpeg"">"
