name,name:en,place,landuse,population,is_in,source,name:af,name:nr,name:st,name:nso,name:ssw,name:ts,name:tn,name:ve,name:xh,name:zu,osm_id,osm_type
Swartkop,,hamlet,,,"Northern Cape, South Africa",sagns,,,,,,,,,,,262717644,nodes
Mitford,,hamlet,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262710149,nodes
Frankfurt,,village,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262720192,nodes
Bathobatho,,village,,,,,,,,,,,,,,,4990262114,nodes
Kraaipan,,village,,,,,,,,,,,,,,,4990262116,nodes
Thelesho,,village,,,,,,,,,,,,,,,4990262401,nodes
Mantsa,,village,,,,,,,,,,,,,,,4990262405,nodes
Manonyane,,hamlet,,,,,,,,,,,,,,,4990262407,nodes
Mokope,,hamlet,,,,,,,,,,,,,,,4990262408,nodes
Mofufutso,,village,,,,,,,,,,,,,,,4990262410,nodes
Weltevreden,,hamlet,,,,,,,,,,,,,,,4990262461,nodes
Witpan,,hamlet,,,,,,,,,,,,,,,4990257696,nodes
Kopela,,village,,,,,,,,,,,,,,,4990257697,nodes
Moolpan,,hamlet,,,,,,,,,,,,,,,4990257700,nodes
Kgamayasha,,hamlet,,,,,,,,,,,,,,,4990259967,nodes
Masibi,,village,,,,,,,,,,,,,,,4990259968,nodes
Masutlhe,,village,,,,,,,,,,,,,,,1408778365,nodes
Doornlaagate,,hamlet,,,,,,,,,,,,,,,4990257698,nodes
Thaba-Sione,,village,,,,,,,,,,,,,,,4990257699,nodes
Logagane,,hamlet,,,,,,,,,,,,,,,4990259963,nodes
Centurion,,town,,236580,"Gauteng, South Africa",sagns,,,,,,,,,,,262719636,nodes
Potchefstroom,Potchefstroom,city,,43448,,sagns,,,,,,,,,,,262721949,nodes
Philadelphia,,village,,,,sagns,,,,,,,,,,,262721921,nodes
Lesodi Mmotlana,,village,,,,,,,,,,,,,,,9261208949,nodes
Makekeng,,village,,,,,,,,,,,,,,,9261208950,nodes
Strandfontein,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262717596,nodes
Sanddrift,,village,,,,,,,,,,,,,,,3975319333,nodes
Xaswita,,village,,,,,,,,,,,,,,,4959738914,nodes
Lekkersing,,village,,,,,,,,,,,,,,,2258349451,nodes
Tshirunzini,,village,,,,,,,,,,,,,,,4951128691,nodes
Mangondi,,village,,,,,,,,,,,,,,,4951128692,nodes
Tshamutukwa,,village,,,,,,,,,,,,,,,4951128693,nodes
Malamagwa,,village,,,,,,,,,,,,,,,4951128694,nodes
Kendal,,village,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262707453,nodes
Madressa,,village,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262708999,nodes
Saaiwater,,village,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262715712,nodes
Bull Run,,village,,,"North West, South Africa",sagns,,,,,,,,,,,262719501,nodes
Jordan,,village,,,,,,,,,,,,,,,4906169624,nodes
